NAME,NCOMP,MSINI(mjupiter),A(au),PER(day),ECC,OM(deg),T0(jd),K(m/s),BINARY
55 Cnc b,5,0.801471,0.113377,14.651,0.004,110,2453035,71.11,1
55 Cnc c,5,0.164558,0.237305,44.38,0.07,356,2453083,10.12,1
55 Cnc d,5,3.54451,5.47467,4909,0.02,254,2453490,45.2,1
55 Cnc e,5,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,1
55 Cnc f,5,0.172877,0.773567,261.2,0.32,139,2450080.911,6.2,1
61 Vir b,3,0.016075,0.05006,4.215,0.12,105,2453367.222,2.12,0
61 Vir c,3,0.0333747,0.216926,38.021,0.14,341,2453350.472,2.12,0
61 Vir d,3,0.0715929,0.474527,123.01,0.35,314,2453350.031,3.25,0
GJ 163 b,3,0.033876,0.0606753,8.631,0.11,97,2455042.253,6.22,0
GJ 163 c,3,0.0215524,0.125354,25.63058,0.099,3.962,2452922.23,2.75,0
GJ 163 d,3,0.0926098,1.03037,603.95116,0.373,2.064,2452876.662,4.42,0
GJ 581 b,3,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,0
GJ 581 c,3,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,0
GJ 581 e,3,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,0
GJ 876 b,4,1.9469,0.208098,61.1166,0.0324,50.3,2450546.8,214,0
GJ 876 c,4,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,0
GJ 876 d,4,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,0
GJ 876 e,4,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,0
HD 10180 c,6,0.0415054,0.0641175,5.75962,0.077,279,2454001.496,4.54,0
HD 10180 d,6,0.0376549,0.128581,16.3567,0.143,292,2454005.38,2.93,0
HD 10180 e,6,0.0797893,0.269917,49.747,0.065,174,2454008.788,4.25,0
HD 10180 f,6,0.0743252,0.49279,122.72,0.133,265,2454027.553,2.95,0
HD 10180 g,6,0.0673813,1.42271,602,0,90,2454042.585,1.56,0
HD 10180 h,6,0.206033,3.42452,2248,0.151,184,2453619.174,3.11,0
HD 181433 b,3,0.0237331,0.0800943,9.3743,0.396,202,2454542,2.94,0
HD 181433 c,3,0.640416,1.75604,962,0.28,21.4,2453235,16.2,0
HD 181433 d,3,0.535482,3.02208,2172,0.48,330,2452154,11.3,0
HD 20794 b,3,0.00848679,0.120738,18.315,0,0,2454774.806,0.83,0
HD 20794 c,3,0.00743617,0.203628,40.114,0,0,2454766.756,0.56,0
HD 20794 d,3,0.0147932,0.349781,90.309,0,0,2454779.34,0.85,0
HD 37124 b,3,0.674371,0.533637,154.378,0.054,130,2450305,28.5,0
HD 37124 c,3,0.648109,1.70993,885.5,0.125,53,2449534,15.4,0
HD 37124 d,3,0.68665,2.80658,1862,0.16,0,2448558,12.8,0
HD 40307 b,3,0.0129071,0.0468927,4.3115,0,0,2454562.77,1.97,0
HD 40307 c,3,0.0211468,0.0800702,9.62,0,0,2454551.53,2.47,0
HD 40307 d,3,0.028076,0.132422,20.46,0,0,2454532.42,2.55,0
HD 69830 b,3,0.0316488,0.0781916,8.6669998,0.1,340,2453496.8,3.51,0
HD 69830 c,3,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,0
HD 69830 d,3,0.0563373,0.627426,197,0.07,224,2453358,2.2,0
HIP 14810 b,3,3.87441,0.0692271,6.673859,0.142483,159.48,2453988.253,424.329,0
HIP 14810 c,3,1.27518,0.545404,147.76916,0.153155,327.286,2454671.631,49.8989,0
HIP 14810 d,3,0.5806,1.88623,950.69651,0.165251,296.832,2454345.169,12.2451,0
HIP 57274 b,3,0.0365708,0.0712798,8.1352,0.187,81,2454801.015,4.64,0
HIP 57274 c,3,0.410096,0.177758,32.03,0.05,356.2,2455785.208,32.4,0
HIP 57274 d,3,0.528573,1.00678,431.7,0.27,187.2,2455108.116,18.2,0
HR 8799 b,4,,67.4293,164253,0,,,,0
HR 8799 c,4,,42.4842,82145,0,,,,0
HR 8799 d,4,,26.7553,41054,0.1,,,,0
HR 8799 e,4,,14.5253,16422,0,,,,0
KIC 11442793 b,7,,0.0761616,7.008151,,,,,0
KIC 11442793 c,7,,0.088103,8.719375,,,,,0
KIC 11442793 d,7,,0.307074,56.73667,,,,,0
KIC 11442793 e,7,,0.423643,91.93913,,,,,0
KIC 11442793 f,7,,0.519687,124.9144,,,,,0
KIC 11442793 g,7,,0.736177,210.60697,,,,,0
KIC 11442793 h,7,,0.996347,331.60059,,,,,0
Kepler-102 b,4,0,0.0551367,5.28696,0,,,0,0
Kepler-102 d,4,0.0126441,0.0860714,10.3117,0,,,1.37,0
Kepler-102 e,4,0.0296868,0.116059,16.1457,0,,,2.77,0
Kepler-102 f,4,0.0269906,0.165339,27.4536,0,,,2.11,0
Kepler-106 b,3,,0.0657994,6.16486,0,,,0.05,0
Kepler-106 c,3,,0.111348,13.5708,0,,,2.71,0
Kepler-106 e,3,,0.243344,43.8445,0,,,1.95,0
Kepler-107 b,4,,0.0423212,3.179997,,90,2454966.499,,0
Kepler-107 c,4,,0.0564705,4.901425,,90,2454971.607,,0
Kepler-107 d,4,,0.0780099,7.958203,,90,2454970.8,,0
Kepler-107 e,4,,0.117702,14.749049,,90,2454971.78,,0
Kepler-11 b,6,,0.0914497,10.3039,0.045,45,2455588.553,,0
Kepler-11 c,6,,0.106909,13.0241,0.0256125,51.3402,2455582.016,,0
Kepler-11 d,6,0.0191935,0.154764,22.6845,0.0036055,146.31,2455597.533,1.426,0
Kepler-11 e,6,,0.19466,31.9996,0.012,90,2455595.076,,0
Kepler-11 f,6,,0.250413,46.6888,0.013,90,2455618.271,,0
Kepler-11 g,6,,0.465624,118.3807,0,90,2455593.802,,0
Kepler-122 b,4,,0.0629312,5.766193,,90,2454967.015,,0
Kepler-122 c,4,,0.105218,12.465988,,90,2454967.003,,0
Kepler-122 d,4,,0.151731,21.587475,,90,2454975.973,,0
Kepler-122 e,4,,0.221179,37.993273,,90,2454996.016,,0
Kepler-124 b,3,,0.0443423,3.410493,,90,2454964.575,,0
Kepler-124 c,3,,0.112713,13.821375,,90,2454964.794,,0
Kepler-124 d,3,,0.192925,30.950851,,90,2454986.837,,0
