NAME,NCOMP,MSINI(mjupiter),A(au),PER(day),ECC,OM(deg),T0(jd),K(m/s),BINARY
55 Cnc b,5,0.801471,0.113377,14.651,0.004,110,2453035,71.11,1
55 Cnc c,5,0.164558,0.237305,44.38,0.07,356,2453083,10.12,1
55 Cnc d,5,3.54451,5.47467,4909,0.02,254,2453490,45.2,1
55 Cnc e,5,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,1
55 Cnc f,5,0.172877,0.773567,261.2,0.32,139,2450080.911,6.2,1
61 Vir b,3,0.016075,0.05006,4.215,0.12,105,2453367.222,2.12,0
61 Vir c,3,0.0333747,0.216926,38.021,0.14,341,2453350.472,2.12,0
61 Vir d,3,0.0715929,0.474527,123.01,0.35,314,2453350.031,3.25,0
GJ 163 b,3,0.033876,0.0606753,8.631,0.11,97,2455042.253,6.22,0
GJ 163 c,3,0.0215524,0.125354,25.63058,0.099,3.962,2452922.23,2.75,0
GJ 163 d,3,0.0926098,1.03037,603.95116,0.373,2.064,2452876.662,4.42,0
GJ 581 b,3,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,0
GJ 581 c,3,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,0
GJ 581 e,3,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,0
GJ 876 b,4,1.9469,0.208098,61.1166,0.0324,50.3,2450546.8,214,0
GJ 876 c,4,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,0
GJ 876 d,4,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,0
GJ 876 e,4,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,0
