NAME,NCOMP,MSINI,A,PER,ECC,OM,T0,K,BINARY
Kepler-42 c,3,0.0192933,0.00585017,0.45328509,0,90,2451216.786,3.6125,0
Kepler-78 b,1,0.00593365,0.00914662,0.35500744,0,90,2451213.42,1.96,0
Kepler-42 b,3,0.01880155,0.0112809,1.2137672,0,90,2451222.426,3.6675,0
Kepler-407 b,1,0,0.0149747,0.6693109,0,90,2448118,0,0
Kepler-42 d,3,0.0198808,0.0150222,1.865169,0,90,2451225.9,3.7025,0
Kepler-446 b,3,0.031779075,0.0159282,1.565409,0,90,2450519.799,2.9425,0
Kepler-445 b,3,0.028807,0.022904,2.984151,0,90,2450602.6,2.955,0
Kepler-446 c,3,0.03306855,0.0247723,3.036179,0,90,2450617.5,2.9775,0
Kepler-98 b,1,0.010276,0.0260305,1.54168,0,90,2448487,1.82,0
Kepler-9 d,3,0.27741625,0.0266925,1.592851,0,90,2455015.093,280,0
Kepler-76 b,1,1.96,0.0271768,1.545,0,90,2440126.77,308,0
Kepler-41 b,1,0.493327,0.0289537,1.855558,0,90,2454970.714,85,0
Kepler-412 b,1,0.928529,0.0295963,1.720861232,0.0038,125,2454966.187,142,0
Kepler-45 b,1,0.510798,0.0298817,2.455239,0.11,230,2455001.441,110,0
Kepler-374 b,3,8.991985,0.0299991,1.897806,0,90,2454965.679,3.39,0
Kepler-336 b,3,3.31504,0.0313231,2.024823,0,90,2454965.356,2.895,0
Kepler-445 c,3,0.02963755,0.0317534,4.871229,0,90,2450760.6,3.005,0
Kepler-55 d,5,0.058575775,0.0332158,2.211099,0,90,2455003.149,115.665,0
Kepler-94 b,1,0.28395725,0.033677,2.50806,0,90,2450578.305,6.11,0
Kepler-82 d,4,0.224553,0.0349155,2.382961,0,90,2454968.082,22.05,0
Kepler-446 d,3,0.0339285,0.0352283,5.148921,0,90,2450768,3.035,0
Kepler-97 b,1,0.0106941,0.036125,2.58664,0,90,2449237,1.65,0
Kepler-406 b,2,0.0199895,0.0361437,2.42629,0,90,2448749,2.89,0
Kepler-49 d,4,0.041498075,0.0367817,2.576549,0,90,2455005.129,149.55,0
Kepler-369 b,2,7.6423,0.0382537,2.732756,0,90,2455187.096,0.91,0
Kepler-423 b,1,0.722794,0.038671,2.68432848,0.0102,90,2454966.355,101,0
Kepler-426 b,1,0.341143,0.0413383,3.21751883,0,90,2441466.632,50,0
