NAME,NCOMP,MSINI,A,PER,ECC,OM,T0,K,BINARY
WASP-89 b,1,0.00579829,0.0426698,3.3564227,0.193,28,2440796.701,0.848,0
PSR B1257+12 A,3,0.3792325,0.168494,25.262,0,90,2449765.1,0.17,0
PSR B1257+12 C,3,0.38795825,0.416595,98.2114,0.0252,108.3,2449766.5,0.345,0
PSR B1257+12 B,3,0.383164,0.321369,66.5419,0.0186,250.4,2449768.1,0.415,0
WASP-83 b,1,0.296234,0.0590285,4.971252,0,90,2449936.378,32.9,0
omega Ser b,1,1.70083,1.07698,277.02,0.106,132,2450022,31.8,0
WASP-117 b,1,0.27543,0.0946483,10.02165,0.302,242,2450410.26,25.16,0
WASP-104 b,1,1.26427,0.0291939,1.7554137,0,90,2450533.4,202.7,0
rho CrB b,1,1.06409,0.225692,39.8449,0.057,303,2450563.2,64.9,0
WASP-74 b,1,0.939613,0.0370185,2.13775,0,90,2450570.35,114.1,0
WASP-23 b,1,0.871881,0.037022,2.9444256,0,90,2450589.655,145.8,0
WASP-106 b,1,1.815,0.089107,9.289715,0,90,2450831.27,165.3,0
tau Gru b,1,1.2147,2.51797,1311,0.07,100,2450870,19.6,0
OGLE-2006-BLG-109L c,2,0.35940025,4.52773,4927.5,0.15,90,2451169.184,3.4275,0
OGLE-TR-10 b,1,0.626643,0.0434856,3.10129,0,90,2452070.222,80,0
OGLE-TR-56 b,1,1.35447,0.0238308,1.211909,0,90,2452072.683,225,0
omicron CrB b,1,1.47736,0.826048,187.83,0.191,79,2452211,32.25,0
OGLE-2006-BLG-109L b,2,0.35750125,2.30386,1788.5,0,90,2452290.86,9.5027525,0
OGLE-TR-113 b,1,1.25508,0.0228946,1.4324757,0,90,2452325.798,267,0
OGLE-05-169L b,1,0.349303,3.41991,3300,0,90,2452327.45,9.8,0
OGLE-05-390L b,1,0.35371,2.72349,3500,0,90,2452329.175,9.975,0
OGLE-TR-111 b,1,0.548406,0.0468733,4.0144479,0,90,2452330.449,78,0
OGLE-05-071L b,1,0.345521,3.54863,3600,0,90,2452332.925,10.08,0
mu Ara b,4,1.74552,1.5273,643.25,0.128,22,2452365.6,37.78,0
MOA-2007-BLG-192L b,1,,0.01365475,0.739753,0,90,2452400.795,10.825,0
MOA-2007-BLG-400L b,1,0.32446975,,0.7659,0,90,2452438.495,11.265,0
MOA-2008-BLG-310L b,1,0.3271225,0.01465,,0,90,2452453.85,11.505,0
MOA-2009-BLG-266L b,1,0.32847425,0.01499845,0.825485,,90,2452476.35,11.64,0
MOA-2009-BLG-319L b,1,0.33165,0.01523075,0.845543315,0,,2452493.09,11.795,0
MOA-2010-BLG-477L b,1,0.339682,0.01568375,0.889566815,0,90,2452502.09,,0
MOA-bin-1L b,1,0.342082,0.0161217,0.93349745,0,90,2452507.408,11.99,
OGLE-2007-BLG-368L b,1,0.36197275,0.01653625,0.98008015,0,90,2452513.408,11.9975,0
OGLE-2011-BLG-0251 b,1,0.366071,0.01697355,1.055064925,0,90,2452535,12.01,0
OGLE235-MOA53 b,1,0.369099,0.01787175,1.151665725,0,90,2452573.5,12.07,0
mu Ara e,4,0.543322,0.93961,310.54999,0.0666,189.6,2452708.7,14.91,0
mu Leo b,1,2.4,1.12966,357.8,0.09,227.1,2452921,52,0
mu Ara c,4,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,21.79,0
mu Ara d,4,0.0345873,0.0927843,9.6386,0.172,212.7,2452991.1,3.06,0
xi Aql b,1,1.77912,0.53813,136.75,0,0,2453001.7,65.4,0
OGLE-TR-132 b,1,1.16945,0.0303507,1.689868,0,90,2453142.591,167,0
NN Ser c,2,2.24099,6.15467,5571,0.22,39,2453155,26.3,0
TYC 1422-614-1 c,2,10,1.39588,559.3,0.048,130,2453190.5,233,0
NGC 2423 3 b,1,6.63106,1.6555,714.3,0.21,18,2453213,137.6,0
TYC 1422-614-1 b,2,2.5,0.697981,198.4,0.06,50,2453236.5,82,0
omicron UMa b,1,4.09607,3.94973,1630,0.13,58,2453400,33.6,0
OGLE-TR-211 b,1,0.753425,0.0512842,3.67724,0,90,2453428.334,82,0
XO-1 b,1,0.918265,0.049283,3.941534,0,90,2453808.917,116,0
TrES-1 b,1,0.752484,0.0392516,3.030065,0,90,2453901.904,115.2,0
upsilon And d,3,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,66.6805,1
TrES-2 b,1,1.19316,0.0355765,2.47063,0,90,2453957.636,181.3,0
XO-3 b,1,13.0547,0.0477112,3.1915426,0.2884,346.3,2454024.728,1488,0
NGC 4349 127 b,1,9.88561,1.68103,677.8,0.19,61,2454114,188,0
XO-2 b,1,0.566435,0.0368367,2.615838,0,90,2454147.749,85,1
TrES-3 b,1,1.87299,0.0227178,1.30619,0,90,2454185.91,369,0
TrES-4 b,1,0.913019,0.0509243,3.553945,0,90,2454230.905,97.4,0
upsilon And c,3,1.91855,0.830445,241.33335,0.223848,250.76,2454265.567,53.6229,1
OGLE-TR-182 b,1,1.02162,0.0513517,3.9791,0,90,2454270.572,120,0
WTS-2 b,1,1.11131,0.0185537,1.0187074,0,90,2454317.813,256,0
WTS-1 b,1,3.98653,0.0466301,3.352059,0.05,90,2454318.747,479,0
WASP-5 b,1,1.62047,0.0271923,1.6284229,0,90,2454373.996,277.8,0
WASP-4 b,1,1.22306,0.0230406,1.3382299,0,90,2454387.328,240,0
upsilon And b,3,0.669277,0.0593858,4.6171363,0.013,50.9829,2454425.017,68.2132,1
WASP-14 b,1,7.65457,0.0367693,2.243752,0.091,253.371,2454462.33,993,0
WASP-11 b,1,0.539752,0.0436466,3.722465,0,90,2454473.056,82.1,0
XO-5 b,1,1.15082,0.0508651,4.1877537,0,90,2454485.668,145,0
XO-4 b,1,1.60219,0.05524,4.1250828,0,90,2454485.933,168.6,0
OGLE2-TR-L9 b,1,4.50213,0.0413279,2.4855335,0,90,2454492.798,510,0
WASP-12 b,1,1.34899,0.0225329,1.09142245,0.049,286,2454508.484,226,0
WASP-17 b,1,0.507667,0.0499354,3.735433,0,90,2454559.181,59.2,0
WASP-16 b,1,0.839364,0.0417858,3.1186009,0,90,2454584.429,116.7,0
WASP-15 b,1,0.541448,0.0499436,3.7521,0,90,2454584.698,63.4,0
WASP-33 b,1,0,0.0255483,1.21986983,0,90,2454590.179,0,0
WASP-6 b,1,0.521174,0.0428704,3.361006,0.054,97.4028,2454596.49,74.3,0
WASP-3 b,1,2.00437,0.0314948,1.846834,0,90,2454605.559,290.5,1
WASP-34 b,1,0.581308,0.0520747,4.3176782,0.038,319.8,2454646.033,72.1,0
WASP-18 b,1,10.0636,0.0201401,0.9414529,0.00848,267.9,2454664.429,1818.3,0
WASP-10 b,1,3.19034,0.0384536,3.0927616,0.0507142,153.283,2454664.537,520.1,0
WASP-8 b,1,2.13728,0.080153,8.158715,0.31,274.27,2454675.429,222.23,1
WASP-21 b,1,0.300201,0.0521087,4.322482,0,90,2454743.042,37.2,0
WASP-22 b,1,0.559004,0.0468682,3.53269,0.023,27,2454779.641,70,0
PH-1 b,1,0.372221,0.629412,138.506,0.0539,348,2454970,33.9,1
WASP-24 b,1,1.08429,0.0365155,2.3412127,0,90,2455081.379,148.2,0
WASP-26 b,1,1.00876,0.0399686,2.7566,0,90,2455123.638,135.5,0
KOI-13 b,1,0.30811775,0.0342279,1.76358799,0,90,2455138.744,0.38,1
PH-2 b,1,0.375816,0.825444,282.5255,0.41,3.43775,2455163.277,0.55,0
WASP-19 b,1,1.11405,0.0163152,0.78884,0.0046,3,2455168.771,257,0
WASP-58 b,1,0.890462,0.0562022,5.01718,0,90,2455183.934,110.1,0
WASP-31 b,1,0.477154,0.0466223,3.405909,0,90,2455189.283,58.2,1
WASP-25 b,1,0.578118,0.0473714,3.764825,0,90,2455274.996,75.5,0
WASP-28 b,1,0.905271,0.0446486,3.40883,0,90,2455290.5,120.5,0
WASP-38 b,1,2.70891,0.0758454,6.87188,0.028,337.8,2455320.093,252,0
WASP-29 b,1,0.242938,0.0456587,3.922727,0.03,90,2455321.215,35.6,0
WASP-37 b,1,1.79324,0.0446312,3.577469,0,90,2455338.619,250.7,0
WASP-39 b,1,0.284135,0.0485835,4.055259,0,90,2455342.969,38,0
WASP-41 b,1,0.931742,0.0404959,3.052401,0,90,2455343.463,135,0
WASP-48 b,1,0.969551,0.034488,2.143634,0,90,2455364.55,136.02,0
WASP-46 b,1,2.08495,0.0244921,1.43037,0,90,2455392.316,387,0
WASP-44 b,1,0.88769,0.0347371,2.4238039,0,90,2455434.376,138.8,0
WASP-45 b,1,1.00188,0.0405459,3.1260876,0,90,2455441.269,148.3,0
TrES-5 b,1,1.77,0.0245157,1.4822446,0,90,2455443.252,339.8,0
